Amp Style , Tube Type / Tech , Typical Number of Gain Stages (Preamp) , Notes
Fender 12AX7 (Clean) , 12AX7/6SC7 , 2 , A typical Fender preamp (like a Twin Reverb or Deluxe) uses two stages for clean amplification, followed by a tone stack and phase inverter.
Marshall ECC83 (Crunch) , ECC83/12AX7 , 3 , Classic Marshalls (e.g., JCM800 2203/2204) use three cascaded stages for their famous crunch, followed by a cathode follower/tone stack and phase inverter.
Mesa 12AX7 (High Gain) , 12AX7 , 5 - 6+ , Modern high-gain Mesas (e.g., Rectifier, Mark series) use heavy cascading, typically five or more stages to achieve maximum saturation and compression.
Vox EF86 (Bright) , EF86 Pentode , 1 - 2 , The EF86 is a high-gain pentode. Circuits using it (like the early AC30 Top Boost) often use a single, highly effective stage for a raw, touch-sensitive, bright tone.
RCA 12AY7 (Vintage) , 12AY7 (lower gain) , 2 - 3 , The 12AY7 has roughly half the gain of a 12AX7. Vintage amps (e.g., Tweed Fender Bassman/Bandmaster) often used it, relying on fewer stages that are pushed into early, smooth distortion.
GE 12AU7 (Jazz/Clean) , 12AU7 (lowest gain) , 2 , The 12AU7 has the lowest gain of the common preamp tubes. It's used in hi-fi or jazz circuits for maximum clean headroom and minimal overdrive.
Mullard ECC83 (British) , ECC83/12AX7 , 2 - 3 , Generally refers to the vintage Marshall-style circuits (Plexi, JTM45) which often had 2-3 stages before the phase inverter, defining the classic "British" crunch.
Peavey 5150 (Lead) , 12AX7 , 5 - 6 , A defining modern high-gain amp. It uses extensive cascading gain (5+ stages) with tight filtering, similar to a Mesa, to achieve its aggressive, high-compression lead tone.
ENGL Savage (Modern) , 12AX7 , 5 - 6 , Typical of German high-gain design, the Savage uses a deep cascading structure (5+ stages) to deliver tight, highly saturated, yet articulate distortion.
Diezel VH4 (Tight) , 12AX7 , 5 - 6 , The VH4 uses a sophisticated, multi-channel design. Its Mega/Lead channels use 5-6 tightly controlled, cascaded stages to deliver extreme, yet refined and compressed high-gain.
Dumble ODS (Smooth) , 12AX7 , 3 - 4 , The Overdrive Special often uses 3 stages for the clean channel, with the overdrive engaged by adding a cascading stage before or between the clean stages, totaling 4 stages for the smooth, harmonically rich lead tone.
Soldano SLO-100 (Cascade) , 12AX7 , 4 , The SLO-100 is famous for perfecting the four-stage cascaded gain preamp, which is widely considered the blueprint for modern high-gain. This design provides maximum saturation while maintaining clarity.
Bogner Ecstasy (Warm) , 12AX7 , 4 - 5 , The Ecstasy's three channels use varying structures, with the high-gain "Red" channel typically employing four or five cascaded stages for a thick, warm, and highly dimensional lead tone.
Roland JC-120 FET (Clean) , FET (Transistor) , 1 - 2 , Being a solid-state amplifier, it uses Field-Effect Transistors (FETs) or Op-Amps, usually only one or two stages, designed for maximum headroom and a famously clean sound with no overdrive.
Sunn Model T (Heavy) , Transistor / Tube (Hybrid) , 2 - 4 , Depending on the generation (tube or hybrid), the Sunn's heavy, monolithic sound comes from a robust, relatively low-gain preamp section that pushes the power amp hard. The tube version relies on the power tubes for most of the distortion.
Hughes & Kettner (Hybrid) , Tube/Solid-State , 3 - 4 , Hybrid amps mix tubes (often 12AX7) for early gain stages with solid-state components for later stages. The gain stages may be a mix of tube triodes and solid-state buffers/amplifiers.
